Copied to clipboard.,In die Zwischenablage kopiert.
Service Level Agreements (SLAs),Service Level Agreements (SLAs)
SLAs align your team and customers with defined timelines for a reliable experience. Learn more about SLA ,SLAs stimmen Ihr Team und Ihre Kunden mit definierten Zeitvorgaben für ein verlässliches Erlebnis ab. Erfahren Sie mehr über SLA 
New SLA Policy,Neue SLA-Richtlinie
Assignment Conditions,Zuweisungsbedingungen
Choose which tickets are affected by this policy.,"Wählen Sie aus, welche Tickets von dieser Richtlinie betroffen sind."
Set as default SLA,Als Standard-SLA festlegen
Old Conditions,Alte Bedingungen
"I understand, add conditions","Ich verstehe, Bedingungen hinzufügen"
Choose how long this SLA policy will be active.,"Wählen Sie, wie lange diese SLA-Richtlinie aktiv sein soll."
Response and Resolution,Antwort und Auflösung
Add time targets around support milestones like first reply and resolution times.,Fügen Sie Zeitvorgaben für Support-Meilensteine wie Erste Antwort und Lösungszeiten hinzu.
Status Details,Statusdetails
"Set the default status assigned when a ticket is created, and the status to apply when a ticket is reopened. If not specified, the default status from HD Settings will be used.","Legen Sie den Standardstatus fest, der beim Erstellen eines Tickets zugewiesen wird, sowie den Status, der beim erneuten Öffnen eines Tickets angewendet wird. Wenn nicht angegeben, wird der Standardstatus aus den HD-Einstellungen verwendet."
Confirm overwrite,Überschreiben bestätigen
Your old conditions will be overwritten. Are you sure you want to save?,"Ihre alten Bedingungen werden überschrieben. Sind Sie sicher, dass Sie speichern möchten?"
SLA policy created successfully.,SLA-Richtlinie erfolgreich erstellt.
SLA policy updated successfully.,SLA-Richtlinie erfolgreich aktualisiert.
SLA set as default cannot be disabled,Als Standard festgelegte SLA kann nicht deaktiviert werden
Add a custom condition,Eine benutzerdefinierte Bedingung hinzufügen
Please fix the errors in the form,Bitte beheben Sie die Fehler im Formular
Workday updated successfully.,Arbeitstag erfolgreich aktualisiert.
A workday with this name already exists,Ein Arbeitstag mit diesem Namen existiert bereits
Workday added successfully.,Arbeitstag erfolgreich hinzugefügt.
Manage pre-defined responses that can be used to respond to customer queries.,"Verwalten Sie vordefinierte Antworten, die zur Beantwortung von Kundenanfragen verwendet werden können."
Owner,Besitzer
Scope,Umfang
Duplicate Saved reply,Gespeicherte Antwort duplizieren
New Saved reply Name,Name der neuen gespeicherten Antwort
Saved reply deleted successfully.,Gespeicherte Antwort erfolgreich gelöscht.
Saved reply duplicated successfully.,Gespeicherte Antwort erfolgreich dupliziert.
Team,Team
New Saved Reply,Neue gespeicherte Antwort
Preview,Vorschau
Choose who can view and use this response.,"Wählen Sie aus, wer diese Antwort sehen und verwenden kann."
Select teams,Teams auswählen
Restrict visibility to these teams,Sichtbarkeit auf diese Teams beschränken
Response,Antwort
"Hello {{ contact }}, \n\nWe are sorry for the inconvenience, we will get back to you soon. \n\nRegards, \n{{ full_name }}","Hallo {{ contact }}, \n\nwir entschuldigen uns für die Unannehmlichkeiten und melden uns in Kürze bei Ihnen. \n\nMit freundlichen Grüßen, \n{{ full_name }}"
Please fill all the required fields,Bitte füllen Sie alle erforderlichen Felder aus
Saved reply saved successfully.,Gespeicherte Antwort erfolgreich gespeichert.
Some error occurred while renaming saved reply,Beim Umbenennen der gespeicherten Antwort ist ein Fehler aufgetreten
Saved reply updated successfully.,Gespeicherte Antwort erfolgreich aktualisiert.
Response is required,Antwort ist erforderlich
At least one team is required,Mindestens ein Team ist erforderlich
First Name,Vorname
Middle Name,Zweiter Vorname
Last Name,Familienname
Full Name,Vollständiger Name
Username,Benutzername
User Image,Benutzerbild
Phone,Telefon
Location,Ort
Bio,Bio
Mobile No,Mobilfunknummer
Select ticket to preview,Ticket zur Vorschau auswählen
Search ticket,Ticket suchen
No tickets found to preview.,Keine Tickets zur Vorschau gefunden.
Configure your Twilio settings for Helpdesk.,Konfigurieren Sie Ihre Twilio-Einstellungen für Helpdesk.
Twilio,Twilio
Record Calls,Anrufe aufzeichnen
Refresh Apps,Apps aktualisieren
Failed to load telephony agent,Telefonie-Agent konnte nicht geladen werden
Please fill all required fields for Twilio,Bitte füllen Sie alle erforderlichen Felder für Twilio aus
Twilio error: {0},Twilio-Fehler: {0}
Failed to save Twilio settings,Twilio-Einstellungen konnten nicht gespeichert werden
Telephony settings updated successfully.,Telefonie-Einstellungen erfolgreich aktualisiert.
Configure your Exotel settings for Helpdesk.,Konfigurieren Sie Ihre Exotel-Einstellungen für Helpdesk.
Exotel,Exotel
Personal mobile no,Private Mobilnummer
Please fill all required fields for Exotel,Bitte füllen Sie alle erforderlichen Felder für Exotel aus
Exotel error: {0},Exotel-Fehler: {0}
Failed to save Exotel settings,Exotel-Einstellungen konnten nicht gespeichert werden
Configure your telephony settings.,Konfigurieren Sie Ihre Telefonie-Einstellungen.
Default medium,Standard-Medium
Default calling medium for logged in user,Standard-Anrufmedium für angemeldeten Benutzer
Configure your Twilio telephony integration settings here,Konfigurieren Sie hier Ihre Twilio-Telefonie-Integrationseinstellungen
Configure your Exotel telephony integration settings here,Konfigurieren Sie hier Ihre Exotel-Telefonie-Integrationseinstellungen
Please configure your Twilio settings correctly,Bitte konfigurieren Sie Ihre Twilio-Einstellungen korrekt
Please configure your Exotel settings correctly,Bitte konfigurieren Sie Ihre Exotel-Einstellungen korrekt
Notifications,Benachrichtigungen
Help,Hilfe
Collapse,Einklappen
Expand,Erweitern
Toggle theme,Theme umschalten
Call Logs,Anrufprotokolle
All Views,Alle Ansichten
Public Views,Öffentliche Ansichten
Private Views,Private Ansichten
Danger,Gefahr
Log out,Abmelden
Customer portal,Kundenportal
Support,Support
Docs,Docs
Login to Frappe Cloud,Bei Frappe Cloud anmelden
Shortcuts,Tastenkürzel
Settings,Einstellungen
Connect your support email,Verbinden Sie Ihre Support-E-Mail
Invite agents,Agents einladen
Setup SLA,SLA einrichten
Create a ticket,Ticket erstellen
Assign a ticket to an agent,Ein Ticket einem Agent zuweisen
Reply on a ticket,Auf ein Ticket antworten
Add a comment on a ticket,Einen Kommentar zu einem Ticket hinzufügen
Create an article,Artikel erstellen
Create & invite a contact,Kontakt erstellen & einladen
Explore customer portal,Kundenportal erkunden
Getting Started,Beginnen
Masters,Stammdaten
Ticket,Ticket
Agent,Agent
Contact,Kontakt
Customer,Kunde
Knowledge Base,Wissensdatenbank
Service Level Agreement,Service Level Agreement
Ticket Type,Ticket-Typ
Ticket Priority,Ticket-Priorität
Customizations,Anpassungen
Please create a new ticket to proceed with the next step.,"Bitte erstellen Sie ein neues Ticket, um mit dem nächsten Schritt fortzufahren."
Home,Startseite
Dashboard,Dashboard
Tickets,Tickets
Customers,Kunden
Contacts,Kontakte
"Search tickets, emails, comments, or #234 to navigate to ticket","Suchen Sie nach Tickets, E-Mails, Kommentaren oder #234, um zu einem Ticket zu navigieren"
Go to Ticket #{0},Zu Ticket #{0}
Jump to,Springen zu
"Search for ""{0}""","Suchen nach ""{0}"""
Ticket Info,Ticket-Info
Are you sure you want to delete this ticket? This is an irreversible action and cannot be undone.,Möchten Sie dieses Ticket wirklich löschen? Dies ist eine unwiderrufliche Aktion und kann nicht rückgängig gemacht werden.
Ticket deleted successfully.,Ticket erfolgreich gelöscht.
Failed to delete ticket.,Ticket konnte nicht gelöscht werden.
Merge Ticket,Ticket zusammenführen
Default actions,Standard-Aktionen
Bulk Reply,Massenantwort
Write your reply...,Schreiben Sie Ihre Antwort...
Discard,Verwerfen
Send Reply,Antwort senden
Send to {0} tickets,An {0} Tickets senden
No tickets selected,Keine Tickets ausgewählt
Bulk reply sent successfully to 1 ticket.,Massenantwort erfolgreich an 1 Ticket gesendet.
Bulk reply sent successfully to {0} tickets.,Massenantwort erfolgreich an {0} Tickets gesendet.
Go to previous ticket (Shift + <),Zum vorherigen Ticket (Shift + <)
No previous ticket,Kein vorheriges Ticket
Go to next ticket (Shift + >),Zum nächsten Ticket (Shift + >)
No next ticket,Kein nächstes Ticket
Rename (⌘ + ⏎),Umbenennen (⌘ + ⏎)
Rename (Ctrl + ⏎),Umbenennen (Strg + ⏎)
Assignee,Zugewiesener
assignees,Zugewiesene
No one,Niemand
Assign yourself,Sich selbst zuweisen
Search agents...,Agents suchen…
Loading...,Laden ...
No agents found,Keine Agents gefunden
Assignee's updated successfully.,Zugewiesene erfolgreich aktualisiert.
Failed to update Assignee's.,Zugewiesene konnten nicht aktualisiert werden.
Assignees updated successfully.,Zugewiesene erfolgreich aktualisiert.
Failed to update Assignees.,Zugewiesene konnten nicht aktualisiert werden.
Keyboard Shortcuts,Tastenkürzel
Open command palette,Befehlspalette öffnen
Open settings,Einstellungen öffnen
Show keyboard shortcuts,Tastenkürzel anzeigen
Open help,Hilfe öffnen
Ticket Management,Ticket-Verwaltung
Change ticket type,Ticket-Typ ändern
Change priority,Priorität ändern
Change team,Team ändern
Assign ticket,Ticket zuweisen
Change status,Status ändern
Copy ticket id,Ticket-ID kopieren
Copy ticket URL,Ticket-URL kopieren
Communication,Kommunikation
Open reply box,Antwortfeld öffnen
Open comment box,Kommentarfeld öffnen
Navigation,Navigation
Next ticket,Nächstes Ticket
Previous ticket,Vorheriges Ticket
Create New Contact,Neuen Kontakt erstellen
Link to a customer record,Mit einem Kundendatensatz verknüpfen
Email Id,E-Mail-ID
Contact created successfully.,Kontakt erfolgreich erstellt.
Email should not be empty,E-Mail darf nicht leer sein
Enter a valid email,Geben Sie eine gültige E-Mail-Adresse ein
Contact with email already exists,Kontakt mit dieser E-Mail existiert bereits
First name should not be empty,Vorname darf nicht leer sein
Enter a valid phone number,Geben Sie eine gültige Telefonnummer ein
Customer created successfully.,Kunde erfolgreich erstellt.
Sync customers between Helpdesk and ERPNext.,Kunden zwischen Helpdesk und ERPNext synchronisieren.
Not installed,Nicht installiert
Enable ERPNext Integration,ERPNext-Integration aktivieren
Install the,Installieren Sie das
ERPNext app,ERPNext-App
to enable this integration.,um diese Integration zu aktivieren.
Customers are in sync,Kunden sind synchronisiert
New and updated customers sync automatically between Helpdesk and ERPNext.,Neue und aktualisierte Kunden werden automatisch zwischen Helpdesk und ERPNext synchronisiert.
Sync your existing customers,Synchronisieren Sie Ihre bestehenden Kunden
Run an initial sync to reconcile existing records. New ones update automatically.,"Führen Sie eine erste Synchronisierung durch, um bestehende Datensätze abzugleichen. Neue werden automatisch aktualisiert."
Syncing…,Wird synchronisiert…
Sync now,Jetzt synchronisieren
ERPNext Integration is enabled,ERPNext-Integration ist aktiviert
ERPNext Integration is disabled,ERPNext-Integration ist deaktiviert
Sync started,Synchronisierung gestartet
ERPNext is not installed on your site. Please install ERPNext to enable this setting,"ERPNext ist auf Ihrer Site nicht installiert. Bitte installieren Sie ERPNext, um diese Einstellung zu aktivieren"
Sync completed successfully,Synchronisierung erfolgreich abgeschlossen
Sync Customers with ERPNext,Kunden mit ERPNext synchronisieren
Set Phone Number,Telefonnummer festlegen
"{0} does not have a phone number, set one to call them.","{0} hat keine Telefonnummer. Legen Sie eine fest, um anzurufen."
Invalid phone number,Ungültige Telefonnummer
Contact updated successfully.,Kontakt erfolgreich aktualisiert.
Export,Export
Export Type,Exporttyp
Excel,Excel
CSV,CSV
Export All {0} Record(s),Alle {0} Datensätze exportieren
Download,Herunterladen
Make a Call,Einen Anruf tätigen
Log a Call,Anruf protokollieren
emails/ comments,E-Mails/ Kommentare
from this email onwards will be moved to new ticket.,ab dieser E-Mail werden in ein neues Ticket verschoben.
This action is irreversible.,Diese Aktion ist unwiderruflich.
Subject is required,Betreff ist erforderlich
Communication ID is required,Kommunikations-ID ist erforderlich
Ticket split successfully.,Ticket erfolgreich aufgeteilt.
All comments and emails from both tickets will be merged into the selected ticket,Alle Kommentare und E-Mails aus beiden Tickets werden in das ausgewählte Ticket zusammengeführt
Tickets must meet the following conditions:,Tickets müssen die folgenden Bedingungen erfüllen:
Ticket Subject,Ticket-Betreff
Category is required,Kategorie ist erforderlich
Ticket to merged with is required,"Das Ticket, mit dem zusammengeführt werden soll, ist erforderlich"
Ticket merged successfully.,Ticket erfolgreich zusammengeführt.
"This date is calculated based on configured SLAs, working hours, and holidays.","Dieses Datum wird auf Basis der konfigurierten SLAs, Arbeitszeiten und Feiertage berechnet."
01/01/2022 to 01/31/2022,01.01.2022 bis 31.01.2022
"100, 200, 300","100, 200, 300"
"John, Jane, Doe","John, Jane, Doe"
%100%,%100%
%John%,%John%
Set,Festlegen
Last Week,Letzte Woche
1000,1000
01/01/2022,01.01.2022
Yes,Ja
Select a Value,Wert auswählen
Select an Option,Option auswählen
John Doe,John Doe
You can change the default calling medium from the settings,Sie können das Standard-Anrufmedium in den Einstellungen ändern
Mark all as read,Alle als gelesen markieren
mentioned you in ticket,hat Sie in einem Ticket erwähnt
assigned you a ticket,hat Ihnen ein Ticket zugewiesen
has reopened the ticket,hat das Ticket erneut geöffnet
No new notifications,Keine neuen Benachrichtigungen
"Search tickets, comments, and communications...","Tickets, Kommentare und Kommunikation suchen…"
Status,Status
Type,Typ
Clear all filters,Alle Filter zurücksetzen
Search index does not exist. Please build the index first.,Suchindex existiert nicht. Bitte erstellen Sie zuerst den Index.
Press enter to search,"Drücken Sie die Eingabetaste, um zu suchen"
Searching...,Wird gesucht…
{0} matches,{0} Treffer
({0}s),({0}s)
{0} filter(s) applied,{0} Filter angewendet
Searched for:,Gesucht nach:
Comments,Kommentare
Page not found,Seite nicht gefunden
"You don't have permission to view this page, or it no longer exists.","Sie haben keine Berechtigung, diese Seite anzuzeigen, oder sie existiert nicht mehr."
Back to Tickets,Zurück zu den Tickets
in,in
Select Category,Kategorie auswählen
Write your article here...,Schreiben Sie hier Ihren Artikel...
Article created successfully.,Artikel erfolgreich erstellt.
Discard Article,Artikel verwerfen
Are you sure you want to discard this article?,Möchten Sie diesen Artikel wirklich verwerfen?
Confirm,Bestätigen
New Article,Neuer Artikel
Category,Kategorie
Article,Artikel
Add New Article,Neuen Artikel hinzufügen
Edit Title,Titel bearbeiten
Merge,Zusammenfassen
Share,Teilen
Category '{0}' link copied to clipboard,Link der Kategorie „{0}“ in die Zwischenablage kopiert
Move To,Verschieben nach
Delete articles,Artikel löschen
Are you sure you want to delete these articles?,Möchten Sie diese Artikel wirklich löschen?
Articles moved successfully.,Artikel erfolgreich verschoben.
Category created successfully.,Kategorie erfolgreich erstellt.
Failed to create category,Kategorie konnte nicht erstellt werden
Category updated successfully.,Kategorie erfolgreich aktualisiert.
Failed to update category.,Kategorie konnte nicht aktualisiert werden.
Delete category?,Kategorie löschen?
All articles from this category will move to General category.,Alle Artikel aus dieser Kategorie werden in die Kategorie Allgemein verschoben.
Category deleted successfully.,Kategorie erfolgreich gelöscht.
Articles deleted successfully.,Artikel erfolgreich gelöscht.
Category merged successfully.,Kategorie erfolgreich zusammengeführt.
No articles found for the applied filters. Try adjusting or clearing your filters.,"Keine Artikel für die angewendeten Filter gefunden. Versuchen Sie, Ihre Filter anzupassen oder zurückzusetzen."
No articles found in the following category.,Keine Artikel in der folgenden Kategorie gefunden.
Published,Veröffentlicht
Draft,Entwurf
Archived,Archiviert
Publish,Veröffentlichen
Unpublish,Veröffentlichung aufheben
Discard changes?,Änderungen verwerfen?
Are you sure you want to discard changes?,Möchten Sie die Änderungen wirklich verwerfen?
Article has been successfully moved.,Der Artikel wurde erfolgreich verschoben.
Article title cannot be set as empty,Der Artikeltitel darf nicht leer sein
Article body cannot be set as empty.,Der Artikeltext darf nicht leer sein.
Article updated successfully.,Artikel erfolgreich aktualisiert.
Article deleted successfully.,Artikel erfolgreich gelöscht.
Edit,Bearbeiten
Add Category,Kategorie hinzufügen
Article link copied to clipboard,Artikel-Link in die Zwischenablage kopiert
Untitled,Ohne Titel
Select,Auswählen
Duration,Dauer
Call duration in seconds,Anrufdauer in Sekunden
Call Received By,Anruf empfangen von
Caller,Anrufer
Incoming,Eingehend
Outgoing,Ausgang
Completed,Abgeschlossen
Busy,Beschäftigt
Failed,Fehlgeschlagen
Initiated,Initiiert
Queued,Warteschlange
Canceled,Abgebrochen
Ringing,Klingeln
No Answer,Keine Antwort
In Progress,In Bearbeitung
New Call Log,Neues Anrufprotokoll
Edit Call Log,Anrufprotokoll bearbeiten
Type is required,Typ ist erforderlich
To is required,An ist erforderlich
Please enter a valid phone number,Bitte geben Sie eine gültige Telefonnummer ein
From is required,Von ist erforderlich
Status is required,Status ist erforderlich
Duration is required,Dauer ist erforderlich
Call Details,Anrufdetails
No customers found for the applied filters. Try adjusting or clearing your filters.,"Keine Kunden für die angewendeten Filter gefunden. Versuchen Sie, Ihre Filter anzupassen oder zurückzusetzen."
Change photo,Foto ändern
Upload photo,Foto hochladen
Remove photo,Foto entfernen
Customer updated successfully.,Kunde erfolgreich aktualisiert.
Error updating customer,Fehler beim Aktualisieren des Kunden
Invite as user,Als Benutzer einladen
Phone Nos,Telefonnummern
Link to a customer,Mit einem Kunden verknüpfen
At least one email is required,Mindestens eine E-Mail ist erforderlich
No changes to save,Keine Änderungen zum Speichern
Invalid email,Ungültige E-Mail
"Invalid file type, only PNG and JPG images are allowed","Ungültiger Dateityp, nur PNG- und JPG-Bilder sind erlaubt"
Contact invited successfully.,Kontakt erfolgreich eingeladen.
No contacts found for the applied filters. Try adjusting or clearing your filters.,"Keine Kontakte für die angewendeten Filter gefunden. Versuchen Sie, Ihre Filter anzupassen oder zurückzusetzen."
SLA,SLA
Details,Details
New Subject,Neuer Betreff
Activity,Aktivität
Calls,Anrufe
viewed this,hat dies angesehen
No tickets found,Keine Tickets gefunden
No tickets found for this view. Try adjusting your filters or creating a new view.,"Keine Tickets für diese Ansicht gefunden. Versuchen Sie, Ihre Filter anzupassen oder eine neue Ansicht zu erstellen."
No tickets found for the applied filters. Try adjusting or clearing your filters.,"Keine Tickets für die angewendeten Filter gefunden. Versuchen Sie, Ihre Filter anzupassen oder zurückzusetzen."
Fulfilled,Erfüllt
Paused,Pausiert
Default Views,Standard-Ansichten
List View,Listenansicht
Saved Views,Gespeicherte Ansichten
Create View,Ansicht erstellen
Unpin View,Ansicht lösen
Pin View,Ansicht anheften
Hide from sidebar,Aus Seitenleiste ausblenden
Show in sidebar,In Seitenleiste anzeigen
Hide view from sidebar,Ansicht aus Seitenleiste ausblenden
{0} view is currently visible in the sidebar. Hiding it will remove it from the sidebar.,"Die Ansicht {0} ist derzeit in der Seitenleiste sichtbar. Wenn Sie sie ausblenden, wird sie aus der Seitenleiste entfernt."
Make view private,Ansicht privat machen
{0} view is currently public. Changing it to private will hide it for all the users.,"Die Ansicht {0} ist derzeit öffentlich. Wenn Sie sie auf privat ändern, wird sie für alle Benutzer ausgeblendet."
Delete View,Ansicht löschen
Delete {0}?,{0} löschen?
Are you sure you want to delete this view?,Möchten Sie diese Ansicht wirklich löschen?
"This view is public, and will be removed for all users.",Diese Ansicht ist öffentlich und wird für alle Benutzer entfernt.
deleted,gelöscht
created,erstellt
View {0},{0} anzeigen
Ticket not found,Ticket nicht gefunden
"You don't have access to this ticket, or it no longer exists.","Sie haben keinen Zugriff auf dieses Ticket, oder es existiert nicht mehr."
Rate this ticket,Dieses Ticket bewerten
Submit,Buchen
Select a rating,Bewertung auswählen
Pick an option,Eine Option auswählen
Other,Andere
Tell us more,Erzählen Sie uns mehr
Subject,Betreff
A short description,Eine kurze Beschreibung
Please enter a subject to continue,"Bitte geben Sie einen Betreff ein, um fortzufahren"
Detailed explanation,Detaillierte Erklärung
New Ticket,Neues Ticket
Type a message,Nachricht eingeben
Send,Absenden
Ticket not found.,Ticket nicht gefunden.
Ticket updated succesfully.,Ticket erfolgreich aktualisiert.
Close Ticket,Ticket schließen
Are you sure you want to close this ticket?,Möchten Sie dieses Ticket wirklich schließen?
Ticket closed successfully.,Ticket erfolgreich geschlossen.
Select Range,Bereich auswählen
Period,Periode
Agent Dashboard,Agent-Dashboard
My Dashboard,Mein Dashboard
Organization Dashboard,Organisations-Dashboard
Last 30 Days,Letzte 30 Tage
Presets,Voreinstellungen
Today,Heute
Last 7 Days,Letzte 7 Tage
Last 60 Days,Letzte 60 Tage
Last 90 Days,Letzte 90 Tage
Custom Range,Benutzerdefinierter Bereich
Refresh,Aktualisieren
Hey,Hallo
No charts added,Keine Diagramme hinzugefügt
Add charts to get started,"Fügen Sie Diagramme hinzu, um zu beginnen"
Dashboard saved,Dashboard gespeichert
My Tickets,Meine Tickets
Average Time Metrics,Durchschnittliche Zeitkennzahlen
Average First Response Time,Durchschnittliche erste Antwortzeit
Average Resolution Time,Durchschnittliche Lösungszeit
Reviews,Bewertungen
Pending Tickets,Ausstehende Tickets
ID,ID
Reason,Grund
Not Assigned,Nicht zugewiesen
No reason,Kein Grund
See all {0} tickets,Alle {0} Tickets anzeigen
Showing {0} of {1} {2},{0} von {1} {2} werden angezeigt
tickets,Tickets
ticket,Ticket
Pending,Ausstehend
Recent,Kürzlich
SLA Alerts,SLA-Benachrichtigungen
Recent Tickets,Aktuelle Tickets
Tickets approaching or breached SLA,"Tickets, die das SLA bald erreichen oder überschritten haben"
Tickets assigned to you in the last 7 days,"Tickets, die Ihnen in den letzten 7 Tagen zugewiesen wurden"
Tickets that are awaiting your response,"Tickets, die auf Ihre Antwort warten"
All SLAs on track,Alle SLAs im Plan
Great! All your tickets are within SLA,Großartig! Alle Ihre Tickets sind innerhalb des SLA
No recently assigned tickets,Keine kürzlich zugewiesenen Tickets
No new tickets assigned to you in the last 7 days,Ihnen wurden in den letzten 7 Tagen keine neuen Tickets zugewiesen
No pending tickets,Keine ausstehenden Tickets
All your assigned tickets have been responded to,Auf alle Ihnen zugewiesenen Tickets wurde geantwortet
Average First Response,Durchschnittliche erste Antwort
Average Resolution,Durchschnittliche Lösung
{0} reviews,{0} Bewertungen
Your performance is,Ihre Leistung ist
Select range,Bereich auswählen
Feedback,Rückmeldung
No additional comments,Keine zusätzlichen Kommentare
No feedback,Kein Feedback
You haven't received any feedback yet,Sie haben noch kein Feedback erhalten
All Time,Gesamter Zeitraum
Last Month,Letzter Monat
Last 3 Months,Letzte 3 Monate
Positive first,Positive zuerst
Negative first,Negative zuerst
excellent,ausgezeichnet
good,gut
average,durchschnittlich
poor,schlecht
Last month,Letzter Monat
Last week,Letzte Woche
Last 3 months,Letzte 3 Monate
No average metrics,Keine Durchschnittswerte
Average response and resolution metrics not available,Durchschnittliche Antwort- und Lösungskennzahlen nicht verfügbar
Avg. first response time,Durchschn. erste Antwortzeit
Avg. resolution time,Durchschn. Lösungszeit
3 Months,3 Monate
6 Months,6 Monate
1 Year,1 Jahr
SLA policy name is required.,SLA-Richtlinienname ist erforderlich.
At least one priority is required.,Mindestens eine Priorität ist erforderlich.
"My Organization","Meine Organisation"
"My Stats","Meine Statistiken"
"No ticket activity","Keine Ticket-Aktivität"
"Ticket trends will appear here once tickets are created.","Ticket-Trends erscheinen hier, sobald Tickets erstellt werden."
"No feedback data","Keine Feedback-Daten"
"Feedback insights will appear once responses are collected.","Feedback-Auswertungen erscheinen, sobald Antworten gesammelt werden."
"No team data","Keine Team-Daten"
"Tickets will be grouped by team once available.","Tickets werden nach Team gruppiert, sobald verfügbar."
"No ticket type data","Keine Ticket-Typ-Daten"
"Tickets will be categorized by type once created.","Tickets werden nach Typ kategorisiert, sobald erstellt."
"No priority data","Keine Prioritätsdaten"
"Ticket priorities will be reflected here once assigned.","Ticket-Prioritäten werden hier angezeigt, sobald zugewiesen."
"No channel data","Keine Kanal-Daten"
"Tickets will be grouped by channel once received.","Tickets werden nach Kanal gruppiert, sobald empfangen."
"Dashboard charts will appear here once you start receiving or creating tickets.","Dashboard-Diagramme erscheinen hier, sobald Sie Tickets erhalten oder erstellen."
"Based on the selected filters no tickets found. Try adjusting the date range or filters applied.","Für die ausgewählten Filter wurden keine Tickets gefunden. Passen Sie den Zeitraum oder die angewendeten Filter an."
"Ticket details","Ticket-Details"
"Ticket ID","Ticket-ID"
"Ask a question...","Stellen Sie eine Frage..."
"Categories","Kategorien"
"First Response","Erste Reaktion"
"Resolution","Lösung"
"Source","Quelle"
